"=","Self-Classify","monad","=y classifies the items of the nub of y (that is, ~.y) according to equality with the items of y , producing a boolean table of shape #~.y by #y . For example:   y=: 3 3 $ 'abcdef'   y ; (~.y) ; (=y)+---+---+-----+|abc|abc|1 0 1||def|def|0 1 0||abc|   |     |+---+---+-----+"
"=","Equal","dyad","x=y is 1 if x is equal to y , and is otherwise 0 .If x or y is a finite floating-point or complex number, the comparison is made with a tolerance t , normally 2 to the power _44 but also controlled by the fit conjunction !. , as in x=!.0 y .   Formally, x=y is 1 if the magnitude of x-y does not exceed t times the larger of the magnitudes of x and y .Tolerance applies similarly to other verbs as indicated for each, notably to Match (-:), to Floor (<.), and to Signum (*), but not to Grade (/:)."
"=.","Copula","monad","The copula is used to assign a referent to a name, as in a=:3 and in sum=:+/ .  The copula =. is local as discussed underExplicit Definition (:),and =: is global, except that global assignment to a local name is not permitted and an assignment to a locative is always global.Copulas may also be used indirectly, with the name or names specified as a character or boxed list.If y is the expression to the right of the copula,then a single name is assigned y , otherwise each name is assigned >y if y is an atom, otherwise the i-th name is assigned >i{y . If the character list begins with  then gerund referents are evoked."
"=.","Local ","dyad",
"=:","Copula","monad","The copula is used to assign a referent to a name, as in a=:3 and in sum=:+/ .  The copula =. is local as discussed underExplicit Definition (:),and =: is global, except that global assignment to a local name is not permitted and an assignment to a locative is always global.Copulas may also be used indirectly, with the name or names specified as a character or boxed list.If y is the expression to the right of the copula,then a single name is assigned y , otherwise each name is assigned >y if y is an atom, otherwise the i-th name is assigned >i{y . If the character list begins with  then gerund referents are evoked."
"=:","Local ","dyad",
"<","Box","monad","<y is an atomic encoding of y , as discussed in Section II A.  The result has rank 0, and is decoded by > ."
"<","Less Than&nbsp;&nbsp;","dyad","x<y is 1 if x is tolerantly less than y . See Equal (=) for a definition of tolerance. <!.t uses tolerance t . "
"<.","Floor","monad","<.y gives the floor of y , that is, the largest integer less than or equal to y . Thus:   <. 4.6 4 _4 _4.64 4 _4 _5The implied comparison with integers is tolerant, as discussed under Equal (=), and is controlled by <.!.t .  See below for complex arguments."
"<.","Lesser Of (Min)","dyad","x<.y is the lesser of x and y . For example:   3 <. 4 _43 _4   <./7 8 5 9 22   <./\7 8 5 9 27 7 5 5 2"
"<:","Decrement","monad","<:y is y-1 . For example:   <: 2 3 5 71 2 4 6Also see Not (-.) ."
"<:","Less than or Equal","dyad","x<:y is 1 if x is less than or equal to y , and is otherwise 0 .   See Equal (=) for a discussion of tolerance. The fit conjunction (!.) applies to <: ."
">","Open","monad","Open is the inverse of box, that is, ><y is y . When applied to an open array (that has no boxed elements), open has no effect. Opened atoms are brought to a common shape as discussed in Section II B."
">","Larger Than","dyad","x>y is 1 if x is tolerantly larger than y . See Equal (=) for a discussion of tolerance.  For example:   1 2 3 4 5  >  5 4 3 2 10 0 0 1 1Tolerance t is provided by >!.t ."
">.","Ceiling","monad",">.y gives the ceiling of y , that is, the smallest integer greater than or equal to y . Thus:   >. 4.6 4 _4 _4.65 4 _4 _4The implied comparison with integers is tolerant, as discussed under Equal (=), and is controlled by >.!.t . See Floor (<.) and McDonnell [10] for complex arguments."
">.","Larger Of (Max)","dyad","x>.y is the larger of x and y . For example:   3>.4 _44 3   >./7 8 5 9 29       >./\7 8 5 9 27 8 8 9 9"
">:","Increment","monad",">:y is y+1 . For example:   >: 2 3 5 73 4 6 8Also see Not (-.) ."
">:","Larger or Equal","dyad","x>:y is 1 if x is tolerantly greater than or equal to y.See Equal (=) for a discussion of tolerance. >:!.t uses tolerance t ."
"_","Negative Sign and Infinity","monad","The symbol _ followed by a digit denotes a negative number (as in _3.4), and denotes infinity when used alone, or negative infinity (in __). It is also used in names, as discussed inPart I and in Part II Section I."
"_.","Indeterminate","monad","The indeterminate _. is a numeric atom. It is provided to aid in dealing with NaN (not a number) in data from external sources, and should be removed from such data as soon as possible. The verb 128!:5 tests for _. .The only ways to create _. are as follows:  "
"_.","Indeterminate","dyad",
"_:","Infinity","monad","_: is a constant function that yields an infinite result, that is, _: y is _"
"_:","Infinity","dyad","_: is a constant function that yields an infinite result, that is, x _: y is _"
"+","Conjugate","monad","+ y is the conjugate of y . For example, +3j4 is 3j_4 ."
"+","Plus","dyad","+ is defined as in elementary arithmetic, and is extended to complex numbers as usual."
"+.","Real / Imaginary","monad","+.y yields a two-element list of the real and imaginary parts of its argument.  For example, +.3j5 is 3 5, and +.3 is 3 0 ."
"+.","GCD (Or)","dyad","x+.y is the greatest common divisor of x and y . If the arguments are boolean (0 or 1), the functions +. and *. are equivalent to logical or and and.  The function -. similarly restricted is not."
"+:","Double","monad","+: y is twice y . For example:   +: 3 0 _26 0 _4"
"+:","Not-Or","dyad","x +: y is the negation of x or y .   For example, 0 +: 0 is 1 ."
"*","Signum","monad","*y is _1 if y is negative, 0 if it is zero, 1 if it is positive; more generally, *y is the intersection of the unit circle with the line from the origin through the argument y in the complex plane.  For example:   *_3 0 5 3j4_1 0 1 0.6j0.8The comparison with zero is tolerant, as defined by the phrase (y%|y)*t<:|y where t denotes the tolerance.  The fit conjunction applies to signum, as in *!.t ."
"*","Times","dyad","* denotes multiplication, defined as in elementary mathematics and extended to complex numbers as usual:   t=:+.x,y [ x=:2j4 [ y=:5j3   r=:-/*/t [ i=:+/ . * t   (x,:y);t;r;i;(r j. i);(x*y)+---+---+--+--+-----+-----+|2j4|2 4|_2|26|_2j26|_2j26||5j3|5 3|  |  |     |     |+---+---+--+--+-----+-----+"
"*.","Length / Angle","monad","*.y is a two-element list of the length and angle (in radians) of the hypotenuse of a triangle with base and altitude equal to the real and imaginary parts y . For example, *. 3j4 is 5 0.927295."
"*.","LCM (And)","dyad","x*.y is the least common multiple of x and y . For boolean arguments (0 and 1)it is equivalent to and.  Thus:   0 1 *./ 0 10 00 1"
"*:","Square","monad","*: y is the square of y ."
"*:","Not-And","dyad","x *: y is the negation of x and y . For example 0 *: 0 is 1 ."
"-","Negate","monad","-y is the negative of y . That is, it is defined as 0 - y . Thus, -2 0 _2 is _2 0 2 ."
"-","Minus","dyad","- is defined as in elementary arithmetic, and is extended to complex numbers as usual."
"-.","Not","monad","-.y is 1-y ; for a boolean argument it is the complement (not); for a probability, it is the complementary probability."
"-.","Less","dyad","x-.y includes all items of x except for those that are cells of y .Tolerance t is provided by -.!.t ."
"-:","Halve","monad","-:y is one half of y .  For example:   -: i. 50 0.5 1 1.5 2"
